"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@type ","must exist: ?@namespace ","must exist: ?@properties ","?@class java#implements org.eclipse.core.expressions.PropertyTester  ","variable ?@id ","variable ?@type ","variable ?@namespace ","variable ?@properties ","variable ?@class ",,,,,,,,,,,,,
"    org.eclipse.jst.jee.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jst.jee.ui.BeanNodePropertyTester ","org.eclipse.jst.jee.ui.internal.navigator.ejb.BeanNode ","org.eclipse.jst.jee.ui ","beanType ","org.eclipse.jst.jee.ui.internal.navigator.ejb.BeanNodePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.sse.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.sse.core.expressions.propertyTester.StructuredFilePropertyTester ","org.eclipse.core.resources.IFile ","org.eclipse.wst.sse.core.resources ","contentTypeId ","org.eclipse.wst.sse.core.internal.propertytester.StructuredFilePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.jdt.debug","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.PropertyTester ","org.eclipse.debug.core.model.IStackFrame ","org.eclipse.jdt.debug ","isMultiStrata ","org.eclipse.jdt.internal.debug.core.JavaDebugPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.mylyn.tasks.ui.propertyTester.task ","org.eclipse.mylyn.tasks.core.ITask ","org.eclipse.mylyn.task ","canGetAttachment","canPostAttachment","connectorKind","hasEdits","hasLocalContext","hasLocalCompletionState","hasRepositoryContext","isCompleted","isLocal"," ","org.eclipse.mylyn.internal.tasks.ui.util.TaskPropertyTester            ",,,,
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.mylyn.tasks.ui.propertyTester.task.attachment ","org.eclipse.mylyn.tasks.core.ITaskAttachment ","org.eclipse.mylyn.task.attachment ","isContext ","org.eclipse.mylyn.internal.tasks.ui.util.TaskAttachmentPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.mylyn.tasks.ui.propertyTester.taskRepository ","org.eclipse.mylyn.tasks.core.TaskRepository ","org.eclipse.mylyn.taskRepository ","connectorKind ","org.eclipse.mylyn.internal.tasks.ui.util.TaskRepositoryPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.ui.ide","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.ide.quickFix ","org.eclipse.ui.internal.views.markers.MarkerEntry ","org.eclipse.ui.ide ","quickFix ","org.eclipse.ui.internal.views.markers.QuickFixPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.ui.ide","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.ide.contentGeneratorTest ","org.eclipse.ui.internal.views.markers.ExtendedMarkersView ","org.eclipse.ui.ide ","contentGenerator ","org.eclipse.ui.internal.views.markers.MarkersViewPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.ui.ide","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.ide.fileMarkerTest ","org.eclipse.ui.internal.views.markers.MarkerEntry ","org.eclipse.ui.ide ","fileMarker ","org.eclipse.ui.internal.views.markers.FileMarkerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.ui.ide","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.ide.editable ","org.eclipse.ui.internal.views.markers.MarkerEntry ","org.eclipse.ui.ide ","editable ","org.eclipse.ui.internal.views.markers.EditablePropertyTester            ",,,,,,,,,,,,,
