"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?/toc/@file ","?/toc/@file xml#instantiatesDTD contract_resources/org.eclipse.help.toc/toc.dtd ","must exist: ?tocProvider/@class ","?tocProvider/@class java#implements org.eclipse.help.AbstractTocProvider ","must exist: ?index/@path ","must exist: ?index/@path  ","variable ?/toc/@file ","variable ?tocProvider/@class ","variable ?index/@path "
"    org.eclipse.jdt.doc.user","anonymous",FALSE,1,"FAILURE ","SUCCESS ","validation of XML document against DTD failed - tag name ""enablement"" is not allowed","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","toc.xml ","? ","index            "
"    org.eclipse.jdt.doc.user","anonymous",FALSE,1,"FAILURE ","SUCCESS ","alidation of XML document against DTD failed - unexpected attribute ""extradir""","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","topics_GettingStarted.xml ","? ","?            "
"    org.eclipse.jst.server.ui.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.jst.server.ui.doc.user_build_toc.xml ","? ","index/            "
"    org.eclipse.datatools.sqltools.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.jst.ws.axis2.ui.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","wsaxis2build_toc.xml ","? ","index/            "
"    org.eclipse.datatools.common.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.wst.xmleditor.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","XMLBuildermap_toc.xml ","? ","index/            "
"    org.eclipse.jpt.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.wst.dtdeditor.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","DTDEditormap_toc.xml ","? ","index/            "
"    org.eclipse.wst.webtools.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","webtools_toc.xml ","? ","index/            "
"    org.eclipse.jst.ws.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","webservice_toc.xml ","? ","index/            "
"    org.tigris.subversion.subclipse.doc","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.datatools.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.rse.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.jst.ws.consumption.ui.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","wsconsumptionbuild_toc.xml ","? ","index/            "
"    org.eclipse.jst.ws.axis.ui.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","wsaxisbuild_toc.xml ","? ","index/            "
