"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@class ","?@class java#implements org.eclipse.core.commands.IHandler ","?@class junit#verifies net.java.treaty.eclipse.system.tests.org.eclipse.core.commands.IHandlerTests ","must exist: ?class/@class ","?class/@class java#implements org.eclipse.core.commands.IHandler ","?class/@class junit#verifies net.java.treaty.eclipse.system.tests.org.eclipse.core.commands.IHandlerTests  ","variable ?@class ","variable ?class/@class "
"    org.eclipse.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.CycleEditorHandler:true ","?            "
"    org.eclipse.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.CycleEditorHandler:false ","?            "
"    org.eclipse.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.CycleViewHandler:true ","?            "
"    org.eclipse.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.CycleViewHandler:false ","?            "
"    org.eclipse.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.CyclePerspectiveHandler:true ","?            "
"    org.eclipse.ui","anonymous",TRUE,13,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.CyclePerspectiveHandler:false ","?            "
"    org.eclipse.ui","anonymous",TRUE,14,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.handlers.CloseAllPerspectivesHandler ","?            "
"    org.eclipse.ui","anonymous",TRUE,15,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.handlers.EditActionSetsHandler ","?            "
"    org.eclipse.ui","anonymous",TRUE,16,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.handlers.ClosePerspectiveHandler ","?            "
"    org.eclipse.ui","anonymous",TRUE,17,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.WorkbookEditorsHandler ","?            "
"    org.eclipse.ui","anonymous",TRUE,18,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.handlers.NewEditorHandler ","?            "
"    org.eclipse.ui","anonymous",TRUE,19,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.handlers.MaximizePartHandler ","?            "
