"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../category/@name ","must exist: ?../primaryWizard/@id ","?@class java#implements org.eclipse.ui.INewWizard  ","variable ?../category/@name ","variable ?../primaryWizard/@id ","variable ?@class "
"    org.eclipse.jst.server.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.jst.server.ui.internal.cactus.NewServletTestCaseWizard            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.html.ui.internal.wizard.NewHTMLWizard            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.jst.jsp.ui.internal.wizard.NewJSPWizard            "
"    org.eclipse.jst.jsp.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.jst.jsp.ui.internal.wizard.NewTagWizard            "
"    org.eclipse.ecf.provider.bittorrent.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ecf.internal.provider.bittorrent.ui.BitTorrentConnectWizard            "
"    org.eclipse.ui.editors","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ui.internal.editors.text.UntitledTextFileWizard            "
"    org.eclipse.jst.ws.creation.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%PLUGIN_NEW_CATEGORY_NAME_WS ","? ","org.eclipse.wst.command.internal.env.ui.widgets.DynamicWizard            "
"    org.eclipse.datatools.connectivity.ui","org.eclipse.datatools.connectivity.ui.org.eclipse.datatools.connectivity.internal.ui.wizards",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%category.name.connectionProfiles ","? ","org.eclipse.datatools.connectivity.internal.ui.wizards.NewCPWizard            "
"    org.eclipse.datatools.connectivity.ui","org.eclipse.datatools.connectivity.ui.org.eclipse.datatools.connectivity.internal.ui.wizards",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%category.name.connectionProfiles ","? ","org.eclipse.datatools.connectivity.internal.ui.wizards.NewRepositoryWizard            "
"    org.eclipse.ecf.provider.msn.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ecf.internal.provider.msn.ui.MSNConnectWizard            "
"    org.eclipse.team.svn.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%SVNNewWizardsCategoryName ","? ","org.eclipse.team.svn.ui.wizard.NewRepositoryLocationWizard            "
"    org.eclipse.team.svn.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%SVNNewWizardsCategoryName ","? ","org.eclipse.team.svn.ui.wizard.ImportFromSVNWizard            "
"    org.eclipse.jdt.junit","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","%WizardCategory.name ","? ","?            "
