"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../@id ","must exist: ?../@targetID ","must exist: ?../menu/@id ","must exist: ?../menu/@label ","must exist: ?@id ","must exist: ?@label ","?@class java#implements org.eclipse.ui.IEditorActionDelegate  ","variable ?../@id ","variable ?../@targetID ","variable ?../menu/@id ","variable ?../menu/@label ","variable ?@id ","variable ?@label ","variable ?@class "
"    org.eclipse.wst.xsd.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.xsd.core.xsdsource.ruler.actions ","org.eclipse.wst.xsd.core.xsdsource.source ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRuler.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.dtd.core.dtdsource.source.editorActions ","org.eclipse.wst.dtd.core.dtdsource.source ","? ","? ","StructureSelectEnclosing ","%StructureSelectEnclosing_label ","org.eclipse.wst.xml.ui.internal.selection.StructuredSelectEnclosingXMLActionDelegate            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.dtd.core.dtdsource.source.editorActions ","org.eclipse.wst.dtd.core.dtdsource.source ","? ","? ","StructureSelectNext ","%StructureSelectNext_label ","org.eclipse.wst.xml.ui.internal.selection.StructuredSelectNextXMLActionDelegate            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.dtd.core.dtdsource.source.editorActions ","org.eclipse.wst.dtd.core.dtdsource.source ","? ","? ","StructureSelectPrevious ","%StructureSelectPrevious_label ","org.eclipse.wst.xml.ui.internal.selection.StructuredSelectPreviousXMLActionDelegate            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.dtd.core.dtdsource.source.editorActions ","org.eclipse.wst.dtd.core.dtdsource.source ","? ","? ","StructureSelectHistory ","%StructureSelectHistory_label ","org.eclipse.wst.sse.ui.internal.selection.StructuredSelectHistoryActionDelegate            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.dtd.core.dtdsource.ruler.actions ","org.eclipse.wst.dtd.core.dtdsource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.wst.dtd.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.dtd.core.dtdsource.ruler.actions ","org.eclipse.wst.dtd.core.dtdsource.source ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRuler.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
"    org.eclipse.wst.wsdl.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.ui.articles.action.contribution.editor ","org.eclipse.wst.wsdl.ui.internal.WSDLEditor ","WSDLEditor ","%_UI_EDITOR_NAME ","org.eclipse.wst.wsdl.ui.actions.ReloadDependenciesActionDelegate ","%_UI_RELOAD_DEPENDENCIES ","org.eclipse.wst.wsdl.ui.internal.ReloadDependenciesActionDelegate            "
"    org.eclipse.wst.wsdl.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.wsdl.wsdlsource.ruler.actions ","org.eclipse.wst.wsdl.wsdlsource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
"    org.eclipse.wst.wsdl.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.wsdl.wsdlsource.ruler.actions ","org.eclipse.wst.wsdl.wsdlsource.source ","? ","? ","org.eclipse.ui.texteditor.SelectRulerAction ","%SelectRuler.label ","org.eclipse.ui.texteditor.SelectRulerAction            "
