"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@targetID  ","variable ?@targetID "
"    org.eclipse.jdt.junit","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jdt.junit.JUnitActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.SearchActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.CodingActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.OpenActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.NavigationActionSet            "
"    org.eclipse.cdt.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS  ","org.eclipse.ui.edit.text.actionSet.annotationNavigation            "
"    org.eclipse.cdt.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS  ","org.eclipse.cdt.ui.text.c.actionSet.presentation            "
"    org.eclipse.jst.pagedesigner","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.debug.ui.launchActionSet            "
"    org.eclipse.birt.report.designer.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.publishActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.A_OpenActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.CodingActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.SearchActionSet            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.wst.jsdt.ui.text.java.actionSet.presentation            "
