"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?scope/@class ","must exist: ?initializer/@class ","must exist: ?modifier/@class  ","variable ?scope/@class ","variable ?initializer/@class ","variable ?modifier/@class "
"    org.eclipse.epp.usagedata.recording","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.epp.usagedata.internal.recording.settings.UsageDataRecordingPreferenceInitializer ","?            "
"    org.eclipse.ecf.presence.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ecf.internal.presence.ui.preferences.PreferenceInitializer ","?            "
"    org.eclipse.rse.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.rse.internal.core.RSEPreferenceInitializer ","?            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ant.internal.ui.AntUIPreferenceInitializer ","?            "
"    org.eclipse.epp.usagedata.gathering","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.epp.usagedata.internal.gathering.settings.UsageDataCapturePreferenceInitializer ","?            "
"    org.eclipse.pde.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.pde.internal.ui.preferences.PreferenceInitializer ","?            "
"    org.eclipse.jdt.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jdt.internal.core.JavaCorePreferenceInitializer ","?            "
"    org.eclipse.jdt.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.jdt.internal.core.JavaCorePreferenceModifyListener            "
"    org.eclipse.wst.sse.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.sse.core.internal.preferences.PreferenceInitializer ","?            "
"    org.eclipse.ui.externaltools","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.ui.externaltools.internal.model.ExternalToolsPreferenceInitializer ","?            "
"    org.eclipse.equinox.p2.ui.sdk","org.eclipse.equinox.p2.ui.sdk.preferences",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.equinox.internal.p2.ui.sdk.prefs.PreferenceInitializer ","?            "
"    org.eclipse.equinox.p2.ui.sdk","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.equinox.internal.p2.ui.sdk.prefs.ClassicUpdateInitializer ","?            "
"    org.eclipse.jst.j2ee.ejb.annotation.model","org.eclipse.jst.j2ee.ejb.annotation.model.org.eclipse.jst.j2ee.ejb.annotation.model",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jst.j2ee.ejb.annotation.internal.preferences.AnnotationPreferenceStore ","?            "
"    org.eclipse.jdt.debug","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jdt.internal.debug.core.JDIDebugPluginPreferenceInitializer ","?            "
"    org.eclipse.dltk.debug.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.dltk.debug.ui.DLTKDebugUIPluginPreferenceInitializer ","?            "
"    org.tigris.subversion.subclipse.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.tigris.subversion.subclipse.ui.SVNUIPreferenceInitializer ","?            "
"    org.eclipse.dltk.debug","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.dltk.debug.core.DLTKDebugPluginPreferenceInitializer ","?            "
