"plugin","extension point","is aggregated contract","partNo","verification result ","?@class java#implements org.eclipse.ui.IEditorPart ","must exist: ?@style ","?@launcher java#implements org.eclipse.ui.IEditorLauncher ","must exist: ?@contributorClass ","?@contributorClass java#implements org.eclipse.ui.IEditorActionBarContributor ","must exist: ?@class ","must exist: ?@matcingStrategy ","?@matcingStrategy java#implements org.eclipse.ui.IEditorMatchingStrategy ","must exist: ?@class  ","variable ?@class ","variable ?@style ","variable ?@launcher ","variable ?@contributorClass ","variable ?@matcingStrategy "
"    org.eclipse.birt.report.debug.ui","org.eclipse.birt.report.debug.ui.script debug editor",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor ","? ","? ","org.eclipse.birt.report.debug.internal.ui.script.actions.ScriptActionBarContributor ","?            "
"    org.eclipse.jst.jsf.facesconfig.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jst.jsf.facesconfig.ui.FacesConfigEditor ","? ","? ","org.eclipse.jst.jsf.facesconfig.ui.FacesConfigActionBarContributor ","?            "
"    org.eclipse.wst.xsd.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor ","? ","? ","org.eclipse.wst.xsd.ui.internal.editor.XSDMultiPageEditorContributor ","?            "
"    org.eclipse.wst.dtd.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.dtd.ui.internal.DTDEditor ","? ","? ","org.eclipse.wst.dtd.ui.internal.editor.ActionContributorDTD ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart ","? ","? ","org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorActionBarContributor ","?            "
"    org.eclipse.wst.wsdl.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.wsdl.ui.internal.InternalWSDLMultiPageEditor ","? ","? ","org.eclipse.wst.wsdl.ui.internal.WSDLActionBarContributor ","?            "
"    org.eclipse.jdt.debug.ui","org.eclipse.jdt.debug.ui.editors",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.debug.ui.snippeteditor.JavaSnippetEditor ","? ","? ","org.eclipse.jdt.internal.debug.ui.snippeteditor.SnippetEditorActionContributor ","?            "
"    org.eclipse.wst.css.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.sse.ui.StructuredTextEditor ","? ","? ","org.eclipse.wst.css.ui.internal.ActionContributorCSS ","?            "
"    org.eclipse.datatools.sqltools.sqleditor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.sqltools.sqleditor.SQLEditor ","? ","? ","org.eclipse.datatools.sqltools.sqleditor.internal.SQLEditorActionContributor ","?            "
"    org.eclipse.compare","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.compare.internal.CompareEditor ","? ","? ","org.eclipse.compare.internal.CompareEditorContributor ","?            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ant.internal.ui.editor.AntEditor ","? ","? ","org.eclipse.ant.internal.ui.editor.AntEditorActionContributor ","?            "
"    org.eclipse.datatools.sqltools.data.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.sqltools.data.internal.ui.editor.TableDataEditor ","? ","? ","org.eclipse.datatools.sqltools.data.internal.ui.editor.TableDataEditorActionBarContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.plugin.ManifestEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.plugin.ManifestEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.schema.SchemaEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.schema.SchemaEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.build.BuildEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.build.BuildEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.feature.FeatureEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.feature.FeatureEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.site.SiteEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.site.SiteEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.product.ProductEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.product.ProductEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.editor.target.TargetEditor ","? ","? ","org.eclipse.pde.internal.ui.editor.target.TargetEditorContributor ","?            "
"    org.eclipse.pde.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.samples.SampleEditor ","? ","? ","? ","?            "
